arm,n,trained,mean_risk,sem_risk,ci_lo,ci_hi,mean_outcome_prob,mean_latent_truth,actual_sens_rate,arm_status
se_vehicle,33,True,0.6666748158489828,0.08333129637944064,0.4969345196999441,0.8364151119980214,0.39328329246686056,0.7212121212121212,0.5757575757575758,TRAINED
se_core,55,False,0.5786627567201467,0.06600949166975832,0.44632169404762617,0.7110038193926671,0.30302380786522304,0.5527272727272727,0.4727272727272727,HELD-OUT
se_vpa_wash,27,False,0.5582526632547601,0.09687711576857057,0.3591188998616496,0.7573864266478706,0.32732880087376326,0.6666666666666666,0.48148148148148145,HELD-OUT
sham,40,True,0.4500624521638731,0.07965233180326597,0.2889504038656517,0.6111745004620945,0.22551429084655011,0.37,0.075,TRAINED
se_vpa_low,30,False,0.4337629038759309,0.09194924626387935,0.2457055798452851,0.6218202279065768,0.2287319970878636,0.4,0.3,HELD-OUT
se_vpa_high,37,False,0.19053211962699262,0.06517808694501953,0.05834483249841632,0.3227194067555689,0.1428465382905749,0.17297297297297298,0.16216216216216217,HELD-OUT
