fish_id,group,dpf,session_minutes,n_scored_events,n_abnormal_events,n_severe_events,n_whirlpool_events,n_convulsion_events,event_seconds,manual_pts_stage_observed,dlc_mean_speed_mm_s,dlc_max_speed_mm_s,dlc_mean_tail_bend_deg,dlc_max_tail_bend_deg,dlc_mean_keypoint_likelihood,dlc_tracking_qc_pass,dlc_abnormal_event_rate_per_min,dlc_severe_event_rate_per_min,dlc_whirlpool_rate_per_min,dlc_convulsion_rate_per_min,dlc_rest_fraction,dlc_behavior_abnormality_index
LZTBI-0029,tbi_low,4,5.0,1.0,1.0,0.0,0.0,0.0,1.619,1.0,28.48,41.13,43.8,71.45,0.9795,True,0.2,0.0,0.0,0.0,0.9946033333333333,0.166667
LZTBI-0029,tbi_low,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0029,tbi_low,6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0030,sham,4,5.0,1.0,0.0,0.0,0.0,0.0,0.481,0.0,4.07,10.87,15.27,28.02,0.9581,True,0.0,0.0,0.0,0.0,0.9983966666666667,0.0
LZTBI-0030,sham,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0030,sham,6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0031,tbi_moderate,4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0031,tbi_moderate,5,5.0,1.0,1.0,0.0,0.0,0.0,0.775,1.0,13.39,28.0,21.12,71.2,0.963,True,0.2,0.0,0.0,0.0,0.9974166666666666,0.166667
LZTBI-0032,sham,4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0032,sham,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0032,sham,6,5.0,1.0,0.0,0.0,0.0,0.0,0.362,0.0,10.05,23.03,14.65,73.31,0.9773,True,0.0,0.0,0.0,0.0,0.9987933333333333,0.0
LZTBI-0033,tbi_moderate,4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0033,tbi_moderate,5,5.0,2.0,2.0,1.0,1.0,0.0,7.05,2.0,24.665,52.0,48.265,101.2,0.95855,False,0.4,0.2,0.2,0.0,0.9765,0.733333
LZTBI-0033,tbi_moderate,6,5.0,1.0,1.0,0.0,0.0,0.0,0.837,1.0,35.68,54.3,49.13,100.69,0.9725,True,0.2,0.0,0.0,0.0,0.99721,0.166667
LZTBI-0034,tbi_moderate,4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0034,tbi_moderate,5,5.0,1.0,0.0,0.0,0.0,0.0,0.456,0.0,5.79,8.78,23.36,47.95,0.9804,True,0.0,0.0,0.0,0.0,0.99848,0.0
LZTBI-0034,tbi_moderate,6,5.0,2.0,2.0,0.0,0.0,0.0,2.481,1.0,30.05,83.97,39.905,79.89,0.9681,True,0.4,0.0,0.0,0.0,0.99173,0.266667
LZTBI-0035,sham,4,5.0,1.0,1.0,0.0,0.0,0.0,1.25,1.0,21.41,37.74,54.8,113.28,0.9536,True,0.2,0.0,0.0,0.0,0.9958333333333333,0.166667
