group,dpf,n_sessions,mean_expected_state,fraction_state_0,fraction_state_1,fraction_state_2
sham,4,18,0.24874504428351962,0.8888888888888888,0.1111111111111111,0.0
sham,5,18,0.1899333031356612,0.8333333333333334,0.16666666666666666,0.0
sham,6,18,0.2790265258975435,0.7222222222222222,0.2777777777777778,0.0
tbi_low,4,18,0.5668803021998517,0.3888888888888889,0.6111111111111112,0.0
tbi_low,5,18,0.719223938934572,0.2777777777777778,0.7222222222222222,0.0
tbi_low,6,17,0.8075241249894373,0.23529411764705882,0.7058823529411765,0.058823529411764705
tbi_moderate,4,18,0.534373674535863,0.4444444444444444,0.5555555555555556,0.0
tbi_moderate,5,18,0.7315622828877292,0.2777777777777778,0.7222222222222222,0.0
tbi_moderate,6,16,0.9372219418260497,0.125,0.8125,0.0625
tbi_high,4,18,1.2366369830037192,0.0,0.7777777777777778,0.2222222222222222
tbi_high,5,18,1.2220424055946781,0.0,0.7777777777777778,0.2222222222222222
tbi_high,6,18,1.6183336085214304,0.0,0.3888888888888889,0.6111111111111112
